Item,Total Fat,Sugars
Mocha with Nonfat Milk (Small),3.5,43
Nonfat Caramel Latte (Large),0.5,59
Nonfat Caramel Latte (Medium),0,48
Nonfat Caramel Latte (Small),0,39
Nonfat Caramel Mocha (Large),3.5,61
Nonfat Caramel Mocha (Medium),3.5,51
Nonfat Caramel Mocha (Small),3.5,41
Nonfat French Vanilla Latte (Large),0.5,56
Nonfat French Vanilla Latte (Medium),0,46
Nonfat French Vanilla Latte (Small),0,37
Nonfat Hazelnut Latte (Large),0.5,59
Nonfat Hazelnut Latte (Medium),0,48
Nonfat Hazelnut Latte (Small),0,38
Nonfat Latte (Large),0.5,21
Nonfat Latte (Medium),0,16
Nonfat Latte (Small),0,13
Nonfat Latte with Sugar Free French Vanilla Syrup (Large),0.5,21
Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),0,16
Nonfat Latte with Sugar Free French Vanilla Syrup (Small),0,13
Oatmeal Raisin Cookie,6,13
Premium Bacon Ranch Salad (without Chicken),7,4
Premium Bacon Ranch Salad with Crispy Chicken,21,5
Premium Bacon Ranch Salad with Grilled Chicken,8,4
Premium Crispy Chicken Classic Sandwich,22,10
Premium Crispy Chicken Club Sandwich,33,11
Premium Crispy Chicken Ranch BLT Sandwich,28,11
Premium Grilled Chicken Classic Sandwich,9,8
Premium Grilled Chicken Club Sandwich,20,9
Premium Grilled Chicken Ranch BLT Sandwich,15,9
Premium McWrap Chicken & Bacon (Crispy Chicken),32,7
Premium McWrap Chicken & Bacon (Grilled Chicken),19,6
Premium McWrap Chicken & Ranch (Crispy Chicken),31,8
Premium McWrap Chicken & Ranch (Grilled Chicken),18,6
Premium McWrap Chicken Sweet Chili (Crispy Chicken),23,14
Premium McWrap Chicken Sweet Chili (Grilled Chicken),10,12
Premium McWrap Southwest Chicken (Crispy Chicken),33,12
Premium McWrap Southwest Chicken (Grilled Chicken),20,10
Premium Southwest Salad (without Chicken),4.5,6
Premium Southwest Salad with Crispy Chicken,22,12
Premium Southwest Salad with Grilled Chicken,8,10
Quarter Pounder Deluxe,27,9
Quarter Pounder with Bacon & Cheese,29,12
Quarter Pounder with Bacon Habanero Ranch,31,10
Quarter Pounder with Cheese,26,10
Ranch Snack Wrap (Crispy Chicken),20,3
Ranch Snack Wrap (Grilled Chicken),13,2
Regular Iced Coffee (Large),9,45
Regular Iced Coffee (Medium),7,30
Regular Iced Coffee (Small),4.5,22
Sausage Biscuit (Large Biscuit),31,3
Sausage Biscuit (Regular Biscuit),27,2
Sausage Biscuit with Egg (Large Biscuit),37,3
Sausage Biscuit with Egg (Regular Biscuit),33,2
Sausage Biscuit with Egg Whites (Large Biscuit),32,3
Sausage Biscuit with Egg Whites (Regular Biscuit),27,3
Sausage Burrito,16,2
Sausage McGriddles,22,15
Sausage McMuffin,23,2
Sausage McMuffin with Egg,28,2
Sausage McMuffin with Egg Whites,23,2
"Sausage, Egg & Cheese McGriddles",31,15
"Sausage, Egg & Cheese McGriddles with Egg Whites",26,15
Shamrock Shake (Large),23,115
Shamrock Shake (Medium),19,93
Side Salad,0,2
Small French Fries,11,0
Southern Style Chicken Biscuit (Large Biscuit),24,4
Southern Style Chicken Biscuit (Regular Biscuit),20,3
Southern Style Crispy Chicken Sandwich,19,7
Sprite (Child),0,27
Sprite (Large),0,74
Sprite (Medium),0,54
Sprite (Small),0,37
Steak & Egg Biscuit (Regular Biscuit),32,3
Steak & Egg McMuffin,23,3
"Steak, Egg & Cheese Bagel",35,7
Strawberry Banana Smoothie (Large),1,70
Strawberry Banana Smoothie (Medium),1,54
Strawberry Banana Smoothie (Small),0.5,44
Strawberry Shake (Large),24,123
Strawberry Shake (Medium),20,100
Strawberry Shake (Small),16,79
Strawberry Sundae,6,45
Sweet Tea (Child),0,27
Sweet Tea (Large),0,54
Sweet Tea (Medium),0,45
Sweet Tea (Small),0,36
Vanilla Shake (Large),23,101
Vanilla Shake (Medium),19,81
Vanilla Shake (Small),15,63
